order_id,customer_id,supplier_id,warehouse_id,product_id,quantity_ordered,quantity_shipped,unit_price,currency,order_date,requested_delivery,actual_delivery,status
ORD-001,CUST-100,SUP-10,WH-1,PROD-A,100,100,12.50,USD,2026-05-01,2026-05-05,2026-05-04,DELIVERED
ORD-002,CUST-100,SUP-10,WH-1,PROD-B,50,50,8.99,USD,2026-05-01,2026-05-05,2026-05-06,DELIVERED
ORD-003,CUST-101,SUP-11,WH-2,PROD-A,200,180,12.50,USD,2026-05-02,2026-05-08,2026-05-09,DELIVERED
ORD-004,CUST-101,SUP-11,WH-2,PROD-C,75,75,25.00,USD,2026-05-02,2026-05-08,2026-05-08,DELIVERED
ORD-005,CUST-102,SUP-10,WH-1,PROD-A,150,150,12.50,USD,2026-05-03,2026-05-10,2026-05-10,DELIVERED
ORD-006,CUST-102,SUP-12,WH-3,PROD-D,30,30,99.99,USD,2026-05-03,2026-05-10,2026-05-12,DELIVERED
ORD-007,CUST-103,SUP-10,WH-1,PROD-B,60,60,8.99,USD,2026-05-04,2026-05-11,2026-05-11,DELIVERED
ORD-008,CUST-103,SUP-11,WH-2,PROD-A,90,80,12.50,USD,2026-05-05,2026-05-12,2026-05-13,DELIVERED
ORD-009,CUST-104,SUP-12,WH-3,PROD-C,40,40,25.00,USD,2026-05-06,2026-05-13,2026-05-12,DELIVERED
ORD-010,CUST-104,SUP-10,WH-1,PROD-A,110,110,12.50,USD,2026-05-07,2026-05-14,,SHIPPED
ORD-011,CUST-105,SUP-11,WH-2,PROD-D,20,20,99.99,USD,2026-05-08,2026-05-15,2026-05-15,DELIVERED
ORD-012,CUST-105,SUP-12,WH-3,PROD-A,180,170,12.50,USD,2026-05-09,2026-05-16,2026-05-18,DELIVERED
